iter	RMSE
463	2489.469742
464	2486.637201
465	2484.012953
466	2480.775679
467	2473.410877
468	2468.257295
469	2466.246078
470	2464.012472
471	2462.889468
472	2462.621457
473	2461.415714
474	2460.382239
475	2457.297999
476	2453.042882
477	2450.404876
478	2449.332103
479	2448.069285
480	2442.547621
481	2442.102589
482	2439.77815
483	2436.897638
484	2435.030454
485	2433.722686
486	2431.443067
487	2430.65414
488	2429.609111
489	2426.118393
490	2421.522033
491	2418.06127
492	2415.810766
493	2411.020756
494	2408.638451
495	2407.849647
496	2405.470946
497	2403.170692
498	2401.160486
499	2398.028964
